matric_number,course_code,course_title,ca_score_30
MAT-2024-0001,PHY 101,General Physics I,25.6
MAT-2024-0001,MAT 101,General Mathematics I,18.6
MAT-2024-0001,CHM 101,General Chemistry I,18.6
MAT-2024-0001,GST 101,Use of English,25.8
MAT-2024-0001,PHY 102,Practical Physics I,22.6
MAT-2024-0001,CSC 101,Introduction to Computer Science,17.6
MAT-2024-0001,STA 101,Introductory Statistics,21.7
MAT-2024-0001,CSC 102,Introduction to Problem Solving,17.6
MAT-2024-0001,CHM 102,Practical Chemistry I,17.6
MAT-2024-0001,ENG 101,Engineering Mechanics,20.5
MAT-2024-0001,BIO 101,General Biology I,11.8
MAT-2024-0002,MAT 101,General Mathematics I,10.6
MAT-2024-0002,MAT 102,General Mathematics II,17.5
MAT-2024-0002,PHY 101,General Physics I,20.0
MAT-2024-0002,GST 101,Use of English,12.2
MAT-2024-0002,PHY 102,Practical Physics I,15.2
MAT-2024-0002,CSC 102,Introduction to Problem Solving,8.9
MAT-2024-0002,CHM 101,General Chemistry I,12.0
MAT-2024-0003,CSC 102,Introduction to Problem Solving,15.9
MAT-2024-0003,CHM 102,Practical Chemistry I,21.4
MAT-2024-0003,GST 102,Nigerian Peoples and Culture,24.7
MAT-2024-0003,ENG 101,Engineering Mechanics,20.3
MAT-2024-0004,BIO 101,General Biology I,20.1
MAT-2024-0004,PHY 102,Practical Physics I,16.6
MAT-2024-0004,CHM 101,General Chemistry I,14.4
MAT-2024-0004,MAT 101,General Mathematics I,10.5
MAT-2024-0005,CSC 102,Introduction to Problem Solving,11.1
MAT-2024-0005,ENG 101,Engineering Mechanics,7.9
MAT-2024-0005,STA 101,Introductory Statistics,24.9
MAT-2024-0006,CSC 101,Introduction to Computer Science,17.2
MAT-2024-0006,GST 101,Use of English,15.9
MAT-2024-0006,STA 101,Introductory Statistics,11.3
MAT-2024-0006,PHY 101,General Physics I,20.6
MAT-2024-0006,PHY 102,Practical Physics I,19.0
MAT-2024-0007,PHY 101,General Physics I,25.2
MAT-2024-0007,STA 101,Introductory Statistics,22.5
MAT-2024-0007,CSC 102,Introduction to Problem Solving,15.9
MAT-2024-0007,PHY 102,Practical Physics I,17.6
MAT-2024-0007,CHM 101,General Chemistry I,24.7
MAT-2024-0007,MAT 101,General Mathematics I,14.9
MAT-2024-0007,CHM 102,Practical Chemistry I,22.2
MAT-2024-0008,GST 102,Nigerian Peoples and Culture,25.9
MAT-2024-0008,PHY 101,General Physics I,19.2
MAT-2024-0008,ENG 101,Engineering Mechanics,26.6
MAT-2024-0008,CSC 102,Introduction to Problem Solving,20.1
MAT-2024-0008,MAT 102,General Mathematics II,27.1
MAT-2024-0008,CHM 101,General Chemistry I,28.6
MAT-2024-0008,CHM 102,Practical Chemistry I,20.7
MAT-2024-0008,STA 101,Introductory Statistics,27.9
MAT-2024-0009,STA 101,Introductory Statistics,9.5
MAT-2024-0009,PHY 102,Practical Physics I,15.7
MAT-2024-0009,GST 101,Use of English,18.0
MAT-2024-0009,PHY 101,General Physics I,18.7
MAT-2024-0009,MAT 101,General Mathematics I,16.2
MAT-2024-0009,CHM 102,Practical Chemistry I,18.0
MAT-2024-0009,ENG 101,Engineering Mechanics,25.2
MAT-2024-0009,CSC 101,Introduction to Computer Science,22.9
MAT-2024-0009,GST 102,Nigerian Peoples and Culture,12.9
MAT-2024-0009,CSC 102,Introduction to Problem Solving,14.3
MAT-2024-0010,ENG 101,Engineering Mechanics,23.4
MAT-2024-0010,CHM 101,General Chemistry I,19.6
MAT-2024-0011,CHM 102,Practical Chemistry I,24.2
MAT-2024-0011,STA 101,Introductory Statistics,18.7
MAT-2024-0011,CSC 101,Introduction to Computer Science,17.8
MAT-2024-0011,CSC 102,Introduction to Problem Solving,14.2
MAT-2024-0011,PHY 102,Practical Physics I,16.3
MAT-2024-0011,GST 101,Use of English,21.0
MAT-2024-0011,GST 102,Nigerian Peoples and Culture,14.1
MAT-2024-0011,MAT 102,General Mathematics II,11.4
MAT-2024-0012,CHM 102,Practical Chemistry I,21.8
MAT-2024-0012,PHY 101,General Physics I,15.0
MAT-2024-0012,PHY 102,Practical Physics I,18.4
MAT-2024-0012,CSC 101,Introduction to Computer Science,5.7
MAT-2024-0012,GST 102,Nigerian Peoples and Culture,14.6
MAT-2024-0012,GST 101,Use of English,17.6
MAT-2024-0012,CSC 102,Introduction to Problem Solving,13.7
MAT-2024-0012,BIO 101,General Biology I,25.2
MAT-2024-0012,STA 101,Introductory Statistics,12.9
MAT-2024-0012,MAT 102,General Mathematics II,16.9
MAT-2024-0012,CHM 101,General Chemistry I,19.2
MAT-2024-0013,GST 101,Use of English,14.8
MAT-2024-0013,CHM 102,Practical Chemistry I,5.7
MAT-2024-0013,STA 101,Introductory Statistics,16.6
MAT-2024-0013,MAT 101,General Mathematics I,5.8
MAT-2024-0013,MAT 102,General Mathematics II,15.4
MAT-2024-0013,PHY 102,Practical Physics I,10.2
MAT-2024-0013,ENG 101,Engineering Mechanics,3.5
MAT-2024-0013,CSC 101,Introduction to Computer Science,6.1
MAT-2024-0013,GST 102,Nigerian Peoples and Culture,15.6
MAT-2024-0014,PHY 101,General Physics I,17.9
MAT-2024-0014,GST 101,Use of English,17.6
MAT-2024-0014,PHY 102,Practical Physics I,26.5
MAT-2024-0014,STA 101,Introductory Statistics,15.0
MAT-2024-0014,CSC 102,Introduction to Problem Solving,18.4
MAT-2024-0015,BIO 101,General Biology I,5.1
MAT-2024-0015,ENG 101,Engineering Mechanics,7.9
MAT-2024-0015,CHM 102,Practical Chemistry I,9.9
MAT-2024-0015,MAT 102,General Mathematics II,12.0
MAT-2024-0015,CSC 101,Introduction to Computer Science,16.6
MAT-2024-0015,CHM 101,General Chemistry I,14.2
MAT-2024-0015,PHY 101,General Physics I,10.1
MAT-2024-0015,CSC 102,Introduction to Problem Solving,10.7
MAT-2024-0015,PHY 102,Practical Physics I,6.7
MAT-2024-0015,GST 102,Nigerian Peoples and Culture,10.7
MAT-2024-0015,GST 101,Use of English,9.6
MAT-2024-0016,ENG 101,Engineering Mechanics,10.0
MAT-2024-0016,PHY 102,Practical Physics I,19.6
MAT-2024-0016,MAT 102,General Mathematics II,11.1
MAT-2024-0016,STA 101,Introductory Statistics,13.3
MAT-2024-0016,GST 101,Use of English,11.5
MAT-2024-0016,CSC 101,Introduction to Computer Science,12.6
MAT-2024-0016,CHM 101,General Chemistry I,10.9
MAT-2024-0016,GST 102,Nigerian Peoples and Culture,15.7
MAT-2024-0016,MAT 101,General Mathematics I,9.7
MAT-2024-0016,CHM 102,Practical Chemistry I,8.5
MAT-2024-0017,CSC 101,Introduction to Computer Science,17.1
MAT-2024-0017,CHM 102,Practical Chemistry I,29.4
MAT-2024-0018,MAT 102,General Mathematics II,18.2
MAT-2024-0018,CHM 102,Practical Chemistry I,12.4
