matric_number,entry_mode_code,socio_band_code,prior_cgpa,ca_mean,ca_variance,momentum,attendance_rate,clicks_total,duration_total_min,resource_breadth,submission_timeliness,engagement_index,forum_posts_count,login_frequency,is_at_risk
MAT-2024-0001,0,2,3.25,66.06,14.82,-1.72,61.2,248,471.04,7,-17.82,125.28,5,29,1
MAT-2024-0002,0,0,2.28,45.9,13.45,-0.45,84.07,248,831.62,8,1.6,134.23,10,15,1
MAT-2024-0003,0,1,3.25,68.58,9.91,0.6,48.8,258,528.76,3,-24.91,125.12,7,13,0
MAT-2024-0004,1,1,2.75,51.33,12.14,-0.79,83.15,266,862.62,12,-12.04,140.26,4,18,1
MAT-2024-0005,0,1,2.19,48.78,54.41,-1.1,79.95,246,493.93,12,-13.68,130.98,4,21,1
MAT-2024-0006,0,0,2.67,56.0,10.1,0.79,25.45,224,479.71,6,33.42,101.58,7,29,1
MAT-2024-0007,0,2,3.62,68.1,15.36,1.0,47.37,269,881.12,4,-25.56,128.75,4,13,0
MAT-2024-0008,0,0,4.0,81.71,12.92,0.41,43.53,239,823.6,13,21.85,113.41,6,21,0
MAT-2024-0009,0,2,2.78,57.13,18.94,-0.11,16.76,221,628.15,7,-8.05,96.7,7,20,1
MAT-2024-0010,1,1,3.47,71.67,3.61,0.76,53.6,248,514.12,10,-9.91,121.64,2,18,0
MAT-2024-0011,0,2,3.22,57.38,14.89,-0.86,74.11,247,416.87,9,-19.04,129.64,7,18,1
MAT-2024-0012,0,0,3.11,54.85,23.58,1.44,29.55,221,343.22,11,21.83,101.02,9,17,1
MAT-2024-0013,0,0,1.72,34.7,24.36,0.45,34.11,261,522.01,8,-44.99,119.44,6,20,1
MAT-2024-0014,0,0,3.07,63.6,15.15,0.2,55.22,217,562.43,11,5.98,109.69,4,12,0
MAT-2024-0015,1,0,1.79,34.39,9.51,0.32,39.08,240,467.33,6,2.13,113.43,4,16,1
MAT-2024-0016,0,0,2.31,40.97,9.65,-0.56,76.99,246,502.31,13,-31.69,129.6,3,18,1
MAT-2024-0017,2,0,4.0,77.5,37.82,-0.11,77.4,269,645.89,14,-1.33,138.76,5,17,0
MAT-2024-0018,0,1,2.44,61.56,25.66,1.4,51.7,256,430.59,2,1.19,125.68,7,28,0
MAT-2024-0019,0,1,2.8,58.37,15.28,-0.32,64.02,239,400.9,1,-51.5,124.01,4,20,0
MAT-2024-0020,0,0,3.16,67.06,7.61,0.65,79.07,234,744.45,6,-18.56,127.03,6,21,0
MAT-2024-0021,0,0,2.55,36.0,1.0,0.93,80.78,226,450.17,4,3.06,124.91,3,25,0
MAT-2024-0022,0,1,3.36,71.85,19.58,1.85,64.99,242,541.71,8,-21.02,124.2,3,25,0
MAT-2024-0023,1,1,2.29,78.33,0.0,-1.77,37.41,234,697.84,6,-14.5,110.36,6,16,1
MAT-2024-0024,2,1,4.0,81.44,24.34,1.51,16.1,220,568.85,6,3.96,96.24,7,17,0
MAT-2024-0025,1,0,3.2,76.67,4.84,-0.35,76.06,231,680.18,2,-23.49,125.42,2,23,0
MAT-2024-0026,1,2,1.98,24.0,4.0,-0.61,67.77,238,639.25,12,42.77,122.91,9,25,1
MAT-2024-0027,2,2,3.21,75.22,26.72,-0.13,82.53,245,818.23,2,-37.34,133.61,4,21,1
MAT-2024-0028,0,1,1.0,20.3,17.51,1.13,71.04,247,543.1,14,61.68,127.42,4,19,1
MAT-2024-0029,0,0,2.03,38.93,24.74,1.27,87.17,265,743.46,8,-5.77,142.27,8,12,1
MAT-2024-0030,0,0,2.54,48.15,29.57,-2.17,40.03,230,569.22,14,-32.02,108.21,7,23,1
MAT-2024-0031,1,1,2.71,55.92,9.12,1.81,69.11,261,721.98,5,-15.51,134.04,5,15,0
MAT-2024-0032,0,1,2.37,45.67,23.0,-0.58,90.58,227,671.1,9,23.69,128.23,4,17,0
MAT-2024-0033,2,1,2.95,68.93,5.39,-0.28,61.41,252,535.68,5,-12.83,127.36,4,23,1
MAT-2024-0034,0,1,3.74,78.75,28.7,-0.05,7.07,265,748.18,13,20.83,109.23,2,26,0
MAT-2024-0035,2,1,3.0,68.44,20.17,1.58,59.23,240,380.2,1,-19.31,122.49,2,18,0
MAT-2024-0036,2,1,3.19,61.52,9.03,-0.13,44.31,251,640.07,11,28.66,118.92,5,16,0
MAT-2024-0037,0,1,2.37,48.37,14.84,-0.73,33.35,259,829.43,8,1.04,118.34,9,15,1
MAT-2024-0038,0,2,3.52,71.0,3.08,1.57,55.13,244,765.52,6,-45.42,121.45,1,19,0
MAT-2024-0039,0,0,3.34,69.22,5.4,0.75,81.88,254,414.34,1,45.86,137.15,7,19,0
MAT-2024-0040,1,1,3.59,71.33,12.28,0.63,26.49,236,661.59,12,-4.96,105.6,4,13,0
MAT-2024-0041,0,1,3.16,59.67,0.0,1.64,93.85,257,688.9,8,7.59,141.74,2,12,1
MAT-2024-0042,0,1,3.52,68.07,5.64,-0.26,55.36,260,395.08,12,-27.8,126.74,3,25,0
MAT-2024-0043,0,2,3.24,71.85,20.06,0.65,82.72,232,684.32,12,35.97,126.49,5,15,0
MAT-2024-0044,1,1,4.0,79.89,4.54,-1.67,56.01,243,844.5,8,22.86,121.0,3,21,0
MAT-2024-0045,1,2,4.0,68.0,0.0,-1.36,93.71,264,713.78,10,7.77,144.08,6,15,0
MAT-2024-0046,2,0,2.6,51.0,24.01,-0.47,90.17,233,506.54,14,-6.54,129.47,5,18,0
MAT-2024-0047,0,1,3.3,71.43,14.78,-0.54,69.54,259,555.88,13,-3.21,131.82,4,17,0
MAT-2024-0048,0,1,3.56,76.57,9.08,0.36,84.72,259,500.22,14,39.2,137.69,3,21,0
MAT-2024-0049,2,1,2.0,41.3,10.1,-1.44,88.65,237,463.23,10,-28.52,131.26,9,20,1
MAT-2024-0050,0,1,3.02,73.33,6.76,0.18,68.59,288,650.92,4,-3.83,144.84,4,17,0
MAT-2024-0051,1,1,3.44,62.03,9.79,0.32,26.25,265,420.51,10,5.94,117.5,8,17,0
MAT-2024-0052,2,1,4.0,77.44,6.47,-0.08,82.22,235,473.24,13,-22.51,127.29,6,23,0
MAT-2024-0053,2,0,3.01,54.36,6.78,1.03,93.73,257,761.05,14,8.98,140.49,6,19,1
MAT-2024-0054,1,0,1.17,21.13,5.81,0.81,47.48,219,428.08,13,59.18,106.99,4,19,1
MAT-2024-0055,1,1,2.8,59.52,4.79,-0.17,71.13,256,451.85,6,31.51,132.65,5,22,0
MAT-2024-0056,0,1,2.72,53.56,1.31,0.66,51.01,244,641.45,2,-11.01,120.6,3,16,1
MAT-2024-0057,0,1,3.01,59.79,21.42,-0.21,42.75,246,729.94,6,-5.58,117.3,7,16,0
MAT-2024-0058,0,1,2.07,31.44,20.18,-0.0,45.52,255,582.62,10,-16.06,121.21,4,27,1
MAT-2024-0059,1,1,3.53,72.13,8.84,0.24,81.15,264,493.78,11,-23.32,138.86,4,12,0
MAT-2024-0060,2,1,2.2,45.7,14.17,0.23,32.15,232,778.74,12,-51.11,106.26,8,24,1
MAT-2024-0061,1,1,3.26,65.56,16.54,0.4,50.46,261,699.66,8,-35.81,125.98,3,21,0
MAT-2024-0062,0,0,3.73,74.56,4.43,0.82,86.16,259,667.54,4,-34.8,140.26,5,21,0
MAT-2024-0063,0,1,2.03,44.5,11.9,0.18,59.42,253,684.86,2,4.43,127.57,3,22,1
MAT-2024-0064,1,1,2.86,56.92,9.61,0.7,29.57,250,717.96,14,20.4,112.03,7,24,1
